Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:34 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775048627814401 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:39 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775067192721408 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:39 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775068069593108 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:40 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775070702436362 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:40 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775072023642123 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:45 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775091288735758 | Message Content: pls use phallic
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:45 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775092727513158 | Message Content: Who do you want to give your 'little pink surprise' to? You have 30 seconds to respond with a valid user.
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:45 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775094711812127 | Message Content: <@540303024078192661>
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:46 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775096313905162 | Message Content: Alright, BlaZe is gonna be in for a treat when they check their inventory :flushed:
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:53 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775125724364830 | Message Content: Lemme see if there's a quicker way of doing this
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:55 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775133143302144 | Message Content: pls help gift
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:55 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775133626564609 | Message Content: 
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:58 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775149127925810 | Message Content: pls inv
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:08:59 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775150562115594 | Message Content: 
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:08:59 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775153779802163 | Message Content: pls inv 2
Author Name: Dank Memer | Author Nickname: Dank Memer (pls) | Author ID: 270904126974590976 | Sent At: 2020-11-30 01:09:00 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775155255410698 | Message Content: 
Author Name: BLANK | Author Nickname: None | Author ID: 616032766974361640 | Sent At: 2020-11-30 01:09:01 UTC | Channel Name: 🖥-bots | Channel ID: 685918906564608055 | Message ID: 782775159944642611 | Message Content: pls inv 3
