Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:06 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700871397933069 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:07 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700874783784992 | Message Content: ofo
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:08 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700879782740010 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:13 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700901512904756 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:14 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700902272204800 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:14 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700902829916180 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:14 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700903006732289 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:14 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700903895531530 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:14 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700904117829683 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:14 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700905602613271 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:15 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700907359895572 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:16 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700911005401119 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:16 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700914242748466 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:30:23 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770700943645212703 | Message Content: oof
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:31:48 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770701297816043543 | Message Content: can i get un shadow
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:31:50 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770701307731640333 | Message Content: ill stop
Author Name: dootman1520 | Author Nickname: None | Author ID: 521303808077463562 | Sent At: 2020-10-27 17:32:20 UTC | Channel Name: interrogation | Channel ID: 758033114101580006 | Message ID: 770701432876957756 | Message Content: good bot
